Title,Release Date,Budget,Domestic Gross,Worldwide Gross,Genre,Director,Awards,imdbRating
Real Steel,10/7/2011,"$110,000,000","$85,463,309","$263,880,341","Action, Drama, Sci-Fi",Shawn Levy,Nominated for 1 Oscar. Another 2 wins & 5 nominations.,7.1
The Flowers of War,12/21/2011,"$100,000,000","$311,434","$93,721,434","Drama, History, War",Yimou Zhang,Nominated for 1 Golden Globe. Another 5 wins & 12 nominations.,7.6
Rise of the Planet of the Apes,8/5/2011,"$93,000,000","$176,760,185","$482,860,185","Action, Drama, Sci-Fi",Rupert Wyatt,Nominated for 1 Oscar. Another 19 wins & 41 nominations.,7.6
Rio,4/15/2011,"$90,000,000","$143,619,809","$487,519,809","Animation, Adventure, Comedy",Carlos Saldanha,Nominated for 1 Oscar. Another 3 wins & 28 nominations.,7.0
The Girl with the Dragon Tattoo,12/20/2011,"$90,000,000","$102,515,793","$239,373,970","Crime, Drama, Mystery",David Fincher,Won 1 Oscar. Another 25 wins & 81 nominations.,7.8
Conan the Barbarian,8/19/2011,"$90,000,000","$21,295,021","$63,356,133","Adventure, Fantasy",John Milius,Won 1 Golden Globe. Another 1 win & 9 nominations.,6.9
The Three Musketeers,10/21/2011,"$90,000,000","$20,374,484","$139,874,484","Action, Adventure, Romance",Paul W.S. Anderson,4 nominations.,5.8
Tower Heist,11/4/2011,"$85,000,000","$78,046,570","$153,487,972","Action, Comedy, Crime",Brett Ratner,3 nominations.,6.2
Arthur Christmas,11/23/2011,"$85,000,000","$46,462,469","$149,717,124","Animation, Adventure, Comedy","Sarah Smith, Barry Cook",Nominated for 1 Golden Globe. Another 3 wins & 20 nominations.,7.1
The Hangover Part II,5/26/2011,"$80,000,000","$254,464,305","$586,464,305",Comedy,Todd Phillips,5 wins & 16 nominations.,6.5
Alvin and the Chipmunks: Chipwrecked,12/16/2011,"$80,000,000","$133,107,389","$349,088,523","Animation, Adventure, Comedy",Mike Mitchell,2 wins & 1 nomination.,4.4
Just Go With It,2/11/2011,"$80,000,000","$103,028,109","$214,974,953","Comedy, Romance",Dennis Dugan,5 wins & 11 nominations.,6.4
Zookeeper,7/8/2011,"$80,000,000","$80,360,866","$170,805,525","Comedy, Family, Romance",Frank Coraci,1 win & 2 nominations.,5.2
Jack and Jill,11/11/2011,"$79,000,000","$74,158,157","$150,519,217",Comedy,Dennis Dugan,13 wins & 5 nominations.,3.4
Immortals,11/11/2011,"$75,000,000","$83,504,017","$211,562,435","Action, Drama, Fantasy",Tarsem Singh,1 win & 6 nominations.,6.1
Sucker Punch,3/25/2011,"$75,000,000","$36,392,502","$89,758,389","Action, Fantasy",Zack Snyder,1 win & 8 nominations.,6.1
Battle: Los Angeles,3/11/2011,"$70,000,000","$83,552,429","$213,463,976",Action,N/A,N/A,4.8
War Horse,12/25/2011,"$70,000,000","$79,883,359","$156,815,529","Drama, War",Steven Spielberg,Nominated for 6 Oscars. Another 16 wins & 68 nominations.,7.2
The Dilemma,1/14/2011,"$70,000,000","$48,475,290","$70,546,865","Comedy, Drama",Ron Howard,1 nomination.,5.3
Killer Elite,9/23/2011,"$70,000,000","$25,124,986","$65,409,046","Action, Crime, Thriller",Gary McKendry,2 wins & 7 nominations.,6.5
Hall Pass,2/25/2011,"$68,000,000","$45,060,734","$87,173,475","Comedy, Romance","Bobby Farrelly, Peter Farrelly",N/A,5.9
Hop,4/1/2011,"$63,000,000","$108,085,305","$188,657,593","Animation, Adventure, Comedy",Tim Hill,2 nominations.,5.5
Contagion,9/9/2011,"$60,000,000","$75,658,097","$137,551,594","Drama, Thriller",Steven Soderbergh,2 wins & 12 nominations.,6.6
Priest,5/13/2011,"$60,000,000","$29,136,626","$84,154,026","Action, Fantasy, Horror",Scott Stewart,3 nominations.,5.7
Mr. Popper's Penguins,6/17/2011,"$55,000,000","$68,224,452","$189,624,452","Comedy, Family, Fantasy",Mark Waters,1 win & 3 nominations.,6.0
The Change-Up,8/5/2011,"$52,000,000","$37,081,475","$75,835,124","Comedy, Fantasy",David Dobkin,1 nomination.,6.4
The Adjustment Bureau,3/4/2011,"$50,200,000","$62,495,645","$126,931,325","Romance, Sci-Fi, Thriller",George Nolfi,1 win & 9 nominations.,7.1
Super 8,6/9/2011,"$50,000,000","$127,004,179","$257,972,745","Action, Mystery, Sci-Fi",J.J. Abrams,11 wins & 62 nominations.,7.1
